,Geographic Area Name,LDS Presence,Sister Cities,Population 18 to 24 years,Population 18 to 24 years!!Less than high school graduate,Population 18 to 24 years!!High school graduate (includes equivalency),Population 18 to 24 years!!Bachelor's degree or higher,Population 25 years and over,Population 25 years and over!!Less than 9th grade,"Population 25 years and over!!9th to 12th grade, no diploma",Population 25 years and over!!High school graduate (includes equivalency),Population 25 years and over!!Bachelor's degree,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!White alone!!High school graduate or higher,RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!White alone!!Bachelor's degree or higher,MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2018 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings,Total population,Male,Female,Under 18 years,18 years and over,21 years and over,65 years and over,White,Black or African American,American Indian and Alaska Native,Asian,Total housing units,"Citizen, 18 and over population",Male,Female
725,"Rio Grande City, TX",0,0,7370,1760,2677,434,35345,10404,6744,8830,2569,17070,3450,20424,"106,277","51,724","54,553","22,018","84,259","76,149","15,397","97,660","3,956",412,947,"43,907","82,908","39,734","43,174"
726,"Riverside, CA",1,0,470058,59232,172876,28350,2861981,261219,291941,764245,387281,1518952,390303,36251,"64,032","31,186","32,846","21,074","42,958","39,636","7,255","53,487",57,42,5,"19,865","31,224","15,509","15,715"
727,"Riverton, WY",0,0,3289,603,1270,224,26578,535,1801,8267,4068,19518,5628,32160,"4,600,396","2,291,834","2,308,562","1,184,668","3,415,728","3,215,729","602,407","2,571,134","334,431","37,221","324,381","1,566,442","2,974,127","1,469,184","1,504,943"
728,"Roanoke, VA",1,0,25964,2922,8942,2457,223194,9640,14898,68622,38687,168733,54834,37620,"39,711","19,848","19,863","9,988","29,723","28,397","7,331","28,682",183,"8,322",107,"18,029","29,588","14,651","14,937"
729,"Roanoke Rapids, NC",0,0,5701,1039,2309,219,51420,3798,7493,19717,4669,18222,4016,28604,"39,711","19,848","19,863","9,988","29,723","28,397","7,331","28,682",183,"8,322",107,"18,029","29,588","14,651","14,937"
730,"Rochelle, IL",0,0,3982,493,1534,277,35634,1362,2254,11968,4736,30799,6915,37905,"70,350","34,041","36,309","14,279","56,071","53,993","15,625","27,818","37,342","1,871",430,"37,616","55,382","26,301","29,081"
731,"Rochester, MN",0,0,16336,2207,4970,2690,146683,3895,5059,35353,32469,126380,50032,45214,"50,793","25,182","25,611","11,449","39,344","37,801","9,438","47,026",529,147,219,"22,687","38,349","18,733","19,616"
732,"Rochester, NY",1,0,109629,11852,30482,13758,739984,23376,48389,196157,140193,579052,228428,40108,"219,848","108,357","111,491","53,614","166,234","159,874","36,287","190,174","10,464",621,"9,711","95,255","158,723","76,915","81,808"
733,"Rockford, IL",0,0,29044,4709,10212,2395,229356,10074,18724,74489,32111,171834,44989,36298,"1,071,784","520,784","551,000","220,748","851,036","804,004","191,322","856,508","121,334","2,986","30,766","482,206","825,142","395,403","429,739"
734,"Rockingham, NC",0,0,4161,1030,1695,92,30570,2230,3805,10681,2838,16664,3135,29257,"336,928","164,998","171,930","79,669","257,259","245,719","57,874","263,357","39,108",539,"8,236","145,782","242,490","117,110","125,380"
735,"Rock Springs, WY",0,0,3975,403,1439,99,28333,633,1916,9433,4298,24364,5976,44634,"1,071,784","520,784","551,000","220,748","851,036","804,004","191,322","856,508","121,334","2,986","30,766","482,206","825,142","395,403","429,739"
736,"Rocky Mount, NC",0,0,12881,2589,4213,844,101233,5737,11140,35374,11992,45342,11814,31282,"43,352","22,340","21,012","11,303","32,049","30,331","5,292","39,470",509,477,357,"19,842","30,673","15,890","14,783"
737,"Rolla, MO",0,0,7453,576,1440,597,27925,1353,2067,8361,4592,22478,7216,31772,"146,356","69,286","77,070","32,428","113,928","109,328","27,503","68,953","68,094",759,942,"68,205","110,488","50,831","59,657"
738,"Rome, GA",0,0,10065,1760,3101,706,64087,4805,7385,21185,7506,43200,11749,32021,"44,587","23,440","21,147","9,381","35,206","31,763","7,209","39,756",917,324,"1,640","20,417","33,794","17,639","16,155"
739,"Roseburg, OR",0,0,7414,1360,3251,326,79864,2039,6660,25912,8447,66593,12881,31076,"97,805","47,231","50,574","22,581","75,224","70,666","16,252","76,407","13,548",154,"1,167","40,713","70,629","33,200","37,429"
740,"Roswell, NM",0,0,6491,1540,2099,398,41387,4658,4432,11515,4888,28298,6594,30483,"110,015","54,440","55,575","21,240","88,775","85,888","28,235","100,715",601,"1,437",919,"50,649","87,778","42,793","44,985"
741,"Ruidoso, NM",0,0,1233,205,350,42,14636,564,676,4258,2983,12890,4191,26429,"64,912","32,402","32,510","17,122","47,790","44,777","10,234","52,297","1,020","1,033",676,"27,385","43,859","21,195","22,664"
742,"Russellville, AR",0,0,10409,499,3146,733,54858,3480,5529,20241,7324,42102,10307,29936,"19,640","9,533","10,107","3,465","16,175","15,620","5,615","17,303",366,239,28,"18,262","15,397","7,550","7,847"
743,"Ruston, LA",0,0,12102,734,1732,1555,25723,871,2124,7013,5533,14396,6654,33335,"85,351","42,385","42,966","19,676","65,675","60,682","13,573","73,815","2,189",421,975,"36,254","62,029","30,571","31,458"
744,"Rutland, VT",0,0,5695,538,2250,642,42983,1059,2249,15078,8259,38643,12481,35491,"47,118","23,084","24,034","9,426","37,692","32,088","6,422","25,623","18,973",56,735,"20,431","36,617","17,474","19,143"
745,"Sacramento, CA",1,0,220786,23013,67790,20232,1538537,83422,85312,326006,327862,975522,365748,42519,"58,527","28,930","29,597","10,351","48,176","45,530","12,893","56,043",410,183,491,"34,552","47,688","23,444","24,244"
746,"Safford, AZ",0,0,4015,921,1071,77,23531,1054,2325,7028,2272,16599,3197,31592,"2,338,866","1,144,264","1,194,602","534,856","1,804,010","1,712,462","360,869","1,464,138","162,474","14,441","329,097","909,133","1,639,860","790,467","849,393"
747,"Saginaw, MI",0,0,19044,2998,5470,984,132027,3950,9926,44370,18070,94802,23683,32882,"38,304","20,458","17,846","10,267","28,037","26,308","5,308","29,683",683,"4,814",262,"13,678","27,526","14,841","12,685"
748,"St. Cloud, MN",0,0,27113,2023,5614,2344,123350,4723,5050,35240,22685,107278,30895,39458,"134,409","65,137","69,272","30,212","104,197","98,582","26,076","115,922","11,145",205,694,"61,283","103,075","48,962","54,113"
749,"St. George, UT",1,0,14373,1792,4768,408,102484,2654,5000,23856,17376,89588,27242,31913,"134,409","65,137","69,272","30,212","104,197","98,582","26,076","115,922","11,145",205,694,"61,283","103,075","48,962","54,113"
750,"St. Joseph, MO",0,0,11839,2007,4613,798,87015,3068,6727,33081,11971,70773,16887,33893,"134,409","65,137","69,272","30,212","104,197","98,582","26,076","115,922","11,145",205,694,"61,283","103,075","48,962","54,113"
751,"St. Louis, MO-IL",0,0,242200,30932,71303,28441,1933216,45808,116095,507947,389184,1419916,548761,41340,"134,409","65,137","69,272","30,212","104,197","98,582","26,076","115,922","11,145",205,694,"61,283","103,075","48,962","54,113"
752,"St. Marys, GA",0,0,6796,849,3234,586,32979,633,2076,10372,5264,23300,6396,37471,"134,409","65,137","69,272","30,212","104,197","98,582","26,076","115,922","11,145",205,694,"61,283","103,075","48,962","54,113"
753,"St. Marys, PA",0,0,2231,314,1006,181,22370,508,1213,10847,2923,20347,4098,37400,"134,409","65,137","69,272","30,212","104,197","98,582","26,076","115,922","11,145",205,694,"61,283","103,075","48,962","54,113"
754,"Salem, OH",0,0,7950,1470,3539,567,74532,2064,7012,33589,7410,62956,10874,31581,"191,166","92,795","98,371","41,042","150,124","141,649","36,634","141,928","36,004",640,"2,259","87,789","148,288","70,664","77,624"
755,"Salem, OR",0,0,41946,6310,13327,2573,272112,17698,19714,73418,42533,207470,60511,33305,"191,166","92,795","98,371","41,042","150,124","141,649","36,634","141,928","36,004",640,"2,259","87,789","148,288","70,664","77,624"
756,"Salina, KS",0,0,5396,576,2036,459,41146,1218,2441,13001,7092,34437,10060,34359,"191,166","92,795","98,371","41,042","150,124","141,649","36,634","141,928","36,004",640,"2,259","87,789","148,288","70,664","77,624"
757,"Salinas, CA",0,0,44559,8087,12290,2482,274528,53527,25289,56133,40485,135397,51749,31806,"60,160","30,071","30,089","13,967","46,193","43,447","10,590","53,008","1,605",234,"1,144","27,188","45,000","22,194","22,806"
758,"Salisbury, MD-DE",0,0,37706,4816,11475,2763,283818,11034,23332,93787,44035,205289,65866,36153,"432,977","220,419","212,558","113,350","319,627","299,979","59,061","209,849","11,162","3,072","25,186","141,910","236,778","118,909","117,869"
759,"Salt Lake City, UT",1,0,112832,15853,38514,9154,739492,25720,44866,171064,160172,575270,221870,40119,"411,137","199,373","211,764","78,773","332,364","316,051","99,171","310,247","70,444","1,273","6,793","251,536","317,872","151,537","166,335"
760,"San Angelo, TX",0,0,14614,1197,4991,1058,76133,4570,6271,23243,12599,57914,16689,33926,"1,215,955","610,556","605,399","333,299","882,656","836,883","130,803","950,574","22,825","9,423","47,700","427,135","801,222","399,881","401,341"
761,"San Antonio, TX",1,0,244733,33473,87543,18501,1561045,109513,127712,409994,276575,1086285,356254,35957,"121,472","60,680","60,792","28,933","92,539","85,142","18,811","98,374","5,065",446,"1,578","50,244","88,716","44,006","44,710"
762,"San Diego-Carlsbad, CA",0,0,353113,32641,116328,38152,2223376,149313,136695,409272,521525,1419937,628118,42233,"2,510,211","1,241,729","1,268,482","631,505","1,878,706","1,770,303","328,161","1,853,499","169,969","15,067","65,862","903,779","1,728,432","839,888","888,544"
763,"Sandpoint, ID",0,0,2589,745,1318,43,31587,801,2090,9619,4913,27650,7063,29428,"3,323,970","1,674,512","1,649,458","718,250","2,605,720","2,464,638","467,737","2,213,608","164,042","24,373","398,526","1,215,528","2,296,505","1,158,840","1,137,665"
764,"Sandusky, OH",0,0,6059,620,2681,478,53613,1163,3168,20267,7658,44367,11465,36104,"282,517","142,935","139,582","49,949","232,568","211,713","56,700","233,297","4,865","2,383","10,559","122,256","220,306","111,209","109,097"
765,"Sanford, NC",0,0,5010,683,1627,344,40245,2817,3846,10936,5665,25890,7105,31345,"282,517","142,935","139,582","49,949","232,568","211,713","56,700","233,297","4,865","2,383","10,559","122,256","220,306","111,209","109,097"
766,"San Francisco, CA",0,0,374441,36070,97273,70511,3361914,207737,165701,528110,966251,1643544,967238,55525,"3,323,970","1,674,512","1,649,458","718,250","2,605,720","2,464,638","467,737","2,213,608","164,042","24,373","398,526","1,215,528","2,296,505","1,158,840","1,137,665"
767,"San Germán, PR",0,0,12288,1233,3741,1070,90288,18208,10198,25297,15424,28571,9597,16568,"3,323,970","1,674,512","1,649,458","718,250","2,605,720","2,464,638","467,737","2,213,608","164,042","24,373","398,526","1,215,528","2,296,505","1,158,840","1,137,665"
768,"San Jose, CA",1,0,171452,15723,44780,35004,1361877,94452,70893,201135,366847,590979,317109,60983,"3,323,970","1,674,512","1,649,458","718,250","2,605,720","2,464,638","467,737","2,213,608","164,042","24,373","398,526","1,215,528","2,296,505","1,158,840","1,137,665"
769,"San Juan-Carolina-Caguas, PR",0,0,209649,19038,58594,17138,1498741,214879,121051,397351,285195,809753,304313,20044,"3,323,970","1,674,512","1,649,458","718,250","2,605,720","2,464,638","467,737","2,213,608","164,042","24,373","398,526","1,215,528","2,296,505","1,158,840","1,137,665"
770,"San Luis Obispo, CA",0,0,43402,2448,9933,3454,187561,7742,9381,37163,40138,152253,59073,41730,"3,323,970","1,674,512","1,649,458","718,250","2,605,720","2,464,638","467,737","2,213,608","164,042","24,373","398,526","1,215,528","2,296,505","1,158,840","1,137,665"
771,"Santa Cruz, CA",0,0,41139,3514,9877,3727,178865,16298,8025,28222,42317,129870,62985,41844,"282,517","142,935","139,582","49,949","232,568","211,713","56,700","233,297","4,865","2,383","10,559","122,256","220,306","111,209","109,097"
772,"Santa Fe, NM",0,0,11147,2361,3534,691,109763,5973,6178,25183,22236,84537,40592,36281,"273,170","135,233","137,937","52,286","220,884","199,741","44,913","195,781","3,472","1,708","13,563","105,819","194,296","94,948","99,348"
773,"Santa Isabel, PR",0,0,2316,302,744,167,14611,1746,913,5709,2436,6930,2390,17179,"150,319","72,820","77,499","27,056","123,263","118,382","36,492","118,759","1,664","4,932","1,961","73,496","112,699","53,758","58,941"
774,"Santa Maria, CA",0,0,70806,6585,13951,6850,273815,33512,18530,49059,54801,179662,78760,37204,"21,474","10,345","11,129","4,544","16,930","15,984","3,506","10,779","7,153",22,0,"9,219","16,930","8,036","8,894"
775,"Santa Rosa, CA",0,0,42531,4641,13277,3570,357968,22149,20682,67183,78692,262347,109738,41245,"444,895","222,524","222,371","99,039","345,856","312,747","68,020","319,547","8,474","4,941","24,678","159,317","283,927","140,278","143,649"
776,"Sault Ste. Marie, MI",0,0,4838,713,1397,239,25952,667,1982,9074,3772,17740,4835,28833,"496,801","242,657","254,144","97,601","399,200","381,604","97,461","360,200","8,266","4,441","21,239","206,498","357,036","170,548","186,488"
777,"Savannah, GA",0,0,40175,5382,12654,3911,252726,7577,18761,66889,48684,147157,58747,36871,"37,418","20,193","17,225","6,801","30,617","28,816","6,810","25,809","2,045","5,047",354,"21,486","29,993","16,287","13,706"
778,"Sayre, PA",0,0,4499,646,2251,355,43245,1276,3518,20209,5077,37430,7385,34993,"390,211","189,136","201,075","89,322","300,889","283,345","56,120","227,571","130,671","1,009","8,903","164,474","289,774","137,414","152,360"
779,"Scottsbluff, NE",0,0,3157,549,1208,156,25617,1467,1624,7430,4034,21363,5577,32810,"60,721","30,047","30,674","13,358","47,363","45,599","12,948","58,502",407,47,377,"30,691","46,882","23,067","23,815"
780,"Scottsboro, AL",0,0,3710,563,1676,56,37225,2146,4380,15181,3450,28146,4927,29594,"37,827","18,234","19,593","9,385","28,442","27,041","7,267","33,495",270,687,242,"17,579","27,706","13,104","14,602"
781,"Scranton--Wilkes-Barre--Hazleton, PA",0,0,50195,6578,14845,5258,395765,11737,27469,152447,61405,335263,92754,36173,"554,787","272,560","282,227","111,027","443,760","421,201","110,724","485,870","22,820",725,"10,173","264,290","428,321","208,529","219,792"
782,"Searcy, AR",0,0,9289,743,2255,834,50930,2781,4673,19564,6568,40465,10141,34478,"554,787","272,560","282,227","111,027","443,760","421,201","110,724","485,870","22,820",725,"10,173","264,290","428,321","208,529","219,792"
783,"Seattle, WA",1,0,324042,41223,96651,52906,2656065,82488,118042,521413,694941,1828216,827853,50957,"78,725","38,513","40,212","18,389","60,336","55,041","12,825","71,589","3,369",356,626,"33,924","58,873","28,089","30,784"
784,"Sebastian-Vero Beach, FL",0,0,9954,2194,3206,1002,115641,4655,8379,34393,19993,93259,30258,30186,"3,928,498","1,969,246","1,959,252","841,335","3,087,163","2,959,088","525,324","2,612,374","233,468","31,359","557,922","1,617,780","2,742,656","1,362,634","1,380,022"
785,"Sebring, FL",0,0,6381,1515,2298,174,78047,4634,7276,29677,8431,57449,11101,24468,"156,964","75,339","81,625","25,154","131,810","127,698","51,701","132,324","13,056",408,"2,230","81,185","124,830","58,690","66,140"
786,"Sedalia, MO",0,0,3735,608,1234,136,28088,1679,2510,9690,3272,22597,4876,30148,"104,574","50,712","53,862","17,680","86,894","83,718","37,320","82,933","9,916",136,"1,545","55,919","81,061","38,730","42,331"
787,"Selinsgrove, PA",0,0,4931,809,1543,181,26998,1471,2405,12465,3271,22666,4829,35371,"42,421","21,024","21,397","10,518","31,903","30,216","7,124","38,331","1,270",150,297,"18,245","30,161","14,517","15,644"
788,"Selma, AL",0,0,3649,620,1265,133,26600,1113,4022,9368,2300,7465,1865,27260,"40,452","20,195","20,257","8,413","32,039","29,113","7,634","38,902",386,23,279,"16,500","31,863","15,654","16,209"
789,"Seneca, SC",0,0,5879,659,2338,453,55310,3440,5446,16512,8120,42169,12754,30972,"38,184","17,601","20,583","9,214","28,970","27,320","6,868","10,394","27,290",48,250,"20,427","28,727","12,757","15,970"
790,"Seneca Falls, NY",0,0,2894,641,833,295,24803,1262,2350,8665,2985,19855,4980,35033,"38,184","17,601","20,583","9,214","28,970","27,320","6,868","10,394","27,290",48,250,"20,427","28,727","12,757","15,970"
791,"Sevierville, TN",0,0,7773,1327,2826,527,68380,4092,6910,24905,7612,55153,11209,27100,"34,295","17,931","16,364","6,858","27,437","26,535","6,574","31,004","1,770",125,265,"16,409","27,104","14,140","12,964"
792,"Seymour, IN",0,0,3342,728,1256,176,29782,1383,2619,12955,2876,24272,4150,34335,"98,007","48,485","49,522","20,209","77,798","74,662","19,237","92,118",860,319,800,"58,161","74,524","35,767","38,757"
793,"Shawano, WI",0,0,3311,386,1708,124,31891,753,2036,14173,3237,24936,4509,34978,"44,077","21,842","22,235","10,682","33,395","32,119","7,083","39,423",596,119,"1,074","19,276","31,889","15,434","16,455"
794,"Shawnee, OK",0,0,7148,1164,2253,338,47453,1420,4483,17039,5610,33813,7405,31836,"45,379","22,668","22,711","10,246","35,133","33,757","9,256","36,387",186,"6,713",185,"23,329","34,940","17,341","17,599"
795,"Sheboygan, WI",0,0,9177,1213,3484,782,80103,1923,3962,29054,13472,69264,18191,40266,"72,511","34,722","37,789","17,175","55,336","51,617","11,837","54,341","2,366","10,336",526,"29,873","54,798","25,720","29,078"
796,"Shelby, NC",0,0,9249,1323,3135,602,66458,3290,7360,23073,6973,44409,9927,31352,"115,152","58,024","57,128","25,491","89,661","85,750","20,657","100,866","2,344",320,"6,789","51,249","86,978","43,837","43,141"
797,"Shelbyville, TN",0,0,3939,566,1916,201,31370,2420,3595,12740,3581,22231,4704,30274,"97,765","47,150","50,615","21,483","76,282","72,360","18,083","72,430","20,260",240,985,"43,714","75,168","35,615","39,553"
798,"Shelton, WA",0,0,4491,1087,1788,166,45951,2081,3694,14379,5647,36339,7508,32923,"48,937","24,097","24,840","12,477","36,460","34,816","7,275","41,749","3,529",223,96,"19,345","34,696","16,707","17,989"
799,"Sheridan, WY",0,0,2269,200,949,47,21203,279,739,5149,3427,19383,6003,39903,"65,326","33,940","31,386","12,613","52,713","50,750","14,983","53,800",492,"1,375",701,"33,784","50,257","25,947","24,310"
800,"Sherman-Denison, TX",0,0,11093,1496,3844,452,86890,3435,6501,26822,12152,68938,16336,35035,"30,397","15,121","15,276","6,464","23,933","22,634","6,446","28,681",92,538,223,"15,053","23,656","11,809","11,847"
801,"Show Low, AZ",1,0,9372,2639,3721,131,69653,4452,7511,20957,6509,33211,8637,29879,"133,527","65,137","68,390","31,692","101,835","96,538","23,764","112,113","7,238","1,012","2,161","56,749","96,983","46,197","50,786"
802,"Shreveport, LA",0,0,38822,7336,13692,2679,295417,10600,28505,99439,43060,159877,48116,32444,"110,271","55,277","54,994","29,180","81,091","76,956","19,944","52,110","1,174","48,401",521,"58,230","79,742","39,675","40,067"
803,"Sidney, OH",0,0,4057,694,1851,224,32382,955,2253,13771,3460,27826,5202,40148,"397,590","191,171","206,419","95,856","301,734","287,012","64,220","217,015","159,215","1,694","5,761","184,148","297,013","140,162","156,851"
804,"Sierra Vista-Douglas, AZ",0,0,11016,2003,4276,503,87467,4885,6330,20560,12527,66546,17448,30634,"48,610","24,437","24,173","12,113","36,497","34,781","8,078","45,534","1,193",99,431,"20,497","36,210","17,943","18,267"
805,"Sikeston, MO",0,0,3173,648,1167,173,26347,1345,2710,11081,2374,19703,3606,30652,"126,442","64,371","62,071","27,159","99,283","94,082","28,101","103,789","5,158","1,461","2,386","61,380","94,423","48,356","46,067"
806,"Silver City, NM",0,0,2181,293,744,123,20006,1089,1489,5107,3232,16673,5279,31186,"38,538","18,760","19,778","9,222","29,316","28,125","7,003","32,616","4,290",56,145,"17,297","29,123","13,818","15,305"
807,"Sioux City, IA-NE-SD",0,0,15646,2113,5049,1238,108880,6871,7447,35548,16671,87032,22546,37064,"27,391","13,532","13,859","5,393","21,998","21,076","7,453","23,370",147,654,188,"15,105","21,509","10,317","11,192"
808,"Sioux Falls, SD",0,1,21961,2929,6761,3011,167016,5197,6992,44087,38469,144373,52817,39641,"144,152","71,727","72,425","37,856","106,296","100,484","22,142","117,928","5,207","2,491","3,609","60,300","99,183","49,061","50,122"
809,"Snyder, TX",0,0,1698,441,700,42,11238,1171,1320,3629,1177,7725,1584,38691,"264,437","132,469","131,968","68,413","196,024","186,843","35,379","230,869","12,768","3,905","4,780","111,182","186,834","92,504","94,330"
810,"Somerset, KY",0,0,4909,574,1981,203,44945,3927,4216,16921,3978,35768,6687,28901,"16,918","9,350","7,568","4,185","12,733","11,796","2,551","14,102",659,30,139,"7,205","12,286","6,770","5,516"
811,"Somerset, PA",0,0,5422,807,2524,407,55686,2330,4317,27921,5710,47167,8415,31643,"64,789","31,359","33,430","14,421","50,368","48,439","12,261","62,115",623,298,516,"31,512","49,676","23,755","25,921"
812,"Sonora, CA",0,0,3796,709,1264,81,41123,782,3154,11680,5286,33688,7801,35476,"73,844","38,545","35,299","13,377","60,467","58,350","16,425","70,020","1,918",67,271,"38,523","60,220","31,493","28,727"
813,"South Bend, IN",0,0,33774,4385,10516,3564,211912,7389,17305,65910,35874,160170,51409,35921,"54,147","28,023","26,124","8,986","45,161","43,650","14,109","46,905","1,007",948,753,"31,572","44,405","23,139","21,266"
814,"Spartanburg, SC",0,0,30508,4350,10061,2356,222930,11877,21709,67607,32424,145381,42786,32802,"322,494","157,733","164,761","74,563","247,931","231,392","53,455","252,239","37,418","1,783","7,269","143,456","238,242","114,418","123,824"
815,"Spearfish, SD",0,0,3230,371,891,219,17488,340,778,5239,4153,15751,5750,34211,"313,791","152,298","161,493","72,755","241,036","228,104","50,797","225,066","62,599",494,"7,099","131,725","230,892","110,192","120,700"
816,"Spencer, IA",0,0,1175,199,418,218,11445,289,456,3906,1972,10409,2547,36206,"25,806","12,783","13,023","4,539","21,267","19,469","5,631","24,005",239,512,269,"14,206","20,777","10,133","10,644"
817,"Spirit Lake, IA",0,0,1165,121,268,113,12674,137,398,3558,2876,11992,3920,37706,"16,138","7,928","8,210","3,629","12,509","12,030","3,388","15,425",19,16,110,"8,292","12,358","6,092","6,266"
818,"Spokane, WA",1,0,52495,6214,16597,4234,379356,7186,18077,93647,69650,323863,102513,36779,"17,260","8,579","8,681","3,277","13,983","13,576","4,492","16,696",31,30,171,"14,048","13,757","6,748","7,009"
819,"Springfield, IL",1,0,17256,2662,5091,2324,145424,2608,8391,41276,30888,118409,43944,41683,"558,635","277,314","281,321","122,969","435,666","413,663","93,660","486,667","9,401","8,496","11,922","241,918","424,269","208,305","215,964"
820,"Springfield, MA",1,0,87348,8806,18869,7312,415689,20400,31668,116693,74558,317405,117924,41485,"208,224","99,926","108,298","46,370","161,854","154,820","37,388","171,013","25,017",271,"4,022","97,689","159,201","75,034","84,167"
821,"Springfield, MO",0,0,54453,5382,13456,4861,300622,8214,19939,91834,52142,256608,77299,33665,"698,537","335,033","363,504","136,115","562,422","517,605","122,293","569,482","46,007","1,268","21,038","291,991","541,437","255,166","286,271"
822,"Springfield, OH",0,0,12141,1593,5093,613,92344,2798,8753,33945,10517,72164,15607,33574,"466,897","228,125","238,772","104,775","362,122","338,700","76,950","426,008","10,521","2,558","6,635","205,370","356,384","172,131","184,253"
823,"Starkville, MS",0,0,15430,386,1494,1602,25391,802,1611,5191,5411,13730,8208,34847,"134,409","65,137","69,272","30,212","104,197","98,582","26,076","115,922","11,145",205,694,"61,283","103,075","48,962","54,113"
824,"State College, PA",0,0,39333,1283,9820,4656,97616,1899,3639,29250,22859,83314,38287,39859,"59,320","29,293","30,027","10,979","48,341","40,566","7,403","35,940","20,328",76,"1,663","26,939","46,773","22,875","23,898"
825,"Statesboro, GA",0,0,18318,1108,3168,1155,41472,1485,3960,11331,6234,25835,9202,31037,"162,264","85,309","76,955","24,309","137,955","118,204","23,102","141,611","5,589",105,"10,142","67,062","129,351","68,307","61,044"
826,"Staunton-Waynesboro, VA",0,0,9613,1245,4155,932,87111,3379,7369,30939,13692,69877,20868,36399,"122,714","60,655","62,059","24,290","98,424","94,752","25,051","108,030","8,735",485,"1,153","54,639","96,473","46,982","49,491"
827,"Steamboat Springs, CO",0,0,1937,288,741,192,18311,318,277,3613,5923,17107,8962,39302,"122,714","60,655","62,059","24,290","98,424","94,752","25,051","108,030","8,735",485,"1,153","54,639","96,473","46,982","49,491"
828,"Stephenville, TX",0,0,9079,490,1890,427,23659,1390,1899,5548,4630,19194,6567,34772,"25,317","13,280","12,037","4,492","20,825","19,798","3,929","23,648",257,77,355,"16,977","20,319","10,711","9,608"
829,"Sterling, CO",0,0,2316,243,699,158,14736,651,889,4816,2026,12607,2906,34187,"42,226","20,493","21,733","8,751","33,475","28,946","5,872","37,392",704,387,418,"18,422","31,043","14,428","16,615"
830,"Sterling, IL",0,0,4491,703,1874,321,39295,1521,2288,14567,4655,33951,6906,34081,"22,282","12,296","9,986","4,005","18,277","17,073","3,869","19,662",328,203,183,"9,027","17,618","9,981","7,637"
831,"Stevens Point, WI",0,0,11771,624,3208,935,45009,1060,1941,14302,9919,40471,13657,38881,"55,583","27,788","27,795","12,249","43,334","41,378","11,509","51,792",716,93,352,"25,831","42,388","20,723","21,665"
832,"Stillwater, OK",0,0,21925,906,3922,2390,43873,1039,2564,11817,9147,33837,13061,33446,"70,822","35,837","34,985","13,610","57,212","52,003","11,789","65,578",531,174,"2,257","31,147","55,897","27,982","27,915"
833,"Stockton, CA",0,1,72469,11342,24998,4250,458237,51380,45525,129211,57633,221044,48908,37171,"81,912","41,757","40,155","15,610","66,302","56,199","10,329","65,316","3,150","3,194","3,570","36,599","62,304","31,342","30,962"
834,"Storm Lake, IA",0,0,2347,248,356,175,12766,1707,1133,3762,1751,8729,2372,33012,"751,615","374,641","376,974","203,670","547,945","516,090","95,949","387,165","53,116","4,695","119,446","245,192","467,710","229,019","238,691"
835,"Sturgis, MI",0,0,4996,1235,1822,159,40779,2036,3222,15559,4057,33573,6088,32050,"19,950","9,903","10,047","5,160","14,790","13,827","3,019","14,718",450,12,"2,099","8,292","12,165","6,145","6,020"
836,"Sulphur Springs, TX",0,0,2887,460,1168,131,24295,1713,2243,8800,3033,17895,4148,34034,"60,789","30,298","30,491","14,892","45,897","43,811","10,761","55,464","1,176",68,325,"27,983","44,397","22,083","22,314"
837,"Summerville, GA",0,0,2125,780,724,17,17078,1824,2774,6614,977,11242,1512,30492,"36,708","18,025","18,683","9,028","27,680","26,628","6,875","30,475","2,614",111,264,"15,441","26,127","12,489","13,638"
838,"Summit Park, UT",0,0,3364,303,1148,486,26844,693,688,4029,9112,24336,14212,52308,"24,826","12,813","12,013","5,606","19,220","18,289","4,381","21,037","2,421",15,98,"10,986","18,604","9,569","9,035"
839,"Sumter, SC",0,0,11154,1493,3909,460,69833,3607,7820,21621,8034,31057,8217,30817,"24,826","12,813","12,013","5,606","19,220","18,289","4,381","21,037","2,421",15,98,"10,986","18,604","9,569","9,035"
840,"Sunbury, PA",0,0,6723,1221,3027,479,67364,2410,6257,33689,6929,56593,10436,34395,"140,540","68,337","72,203","32,125","108,415","103,315","25,479","66,457","65,903",353,"1,701","66,291","106,872","50,993","55,879"
841,"Susanville, CA",0,0,3869,1285,1554,64,22390,854,2999,7444,1787,15936,2440,41518,"91,234","46,055","45,179","17,913","73,321","70,857","19,318","85,487","2,253",122,334,"45,522","72,866","36,516","36,350"
842,"Sweetwater, TX",0,0,1461,459,434,83,9613,817,1004,3178,1101,7071,1449,30992,"30,600","20,042","10,558","4,937","25,663","24,596","4,421","24,181","2,713",794,471,"12,766","24,476","16,609","7,867"
843,"Syracuse, NY",1,0,71591,6084,17616,7958,443713,13014,30347,126246,78741,359849,127500,41210,"14,901","7,670","7,231","3,853","11,048","10,353","2,716","12,777",827,95,25,"7,075","10,460","5,138","5,322"
